transaction_id,building_id,community,property_type,bedrooms,size_sqft,price_aed,price_per_sqft,transaction_type,transaction_date,registration_type,buyer_type
TXN-00039,BLD-028,Downtown Dubai,Villa,3,4821.0,11757069.12,2438.72,Sale,2025-02-25,Title Deed,Individual
TXN-00040,BLD-029,Dubai Hills Estate,Apartment,2,435.0,734906.4,1689.44,Sale,2025-12-11,Title Deed,Individual
TXN-00041,BLD-016,Dubai Marina,Apartment,2,768.0,1525724.16,1986.62,Sale,2026-01-07,Title Deed,Company
TXN-00042,BLD-010,Dubai South,Apartment,2,1284.0,1193721.96,929.69,Sale,2026-02-28,Title Deed,Individual
TXN-00043,BLD-054,Dubai Silicon Oasis,Apartment,1,2333.0,2511124.55,1076.35,Sale,2026-01-15,Title Deed,Individual
TXN-00044,BLD-012,Dubai South,Apartment,0,1283.0,1221800.9,952.3,Off-Plan,2025-08-24,Oqood,Individual
TXN-00045,BLD-043,Arabian Ranches,Villa,3,5776.0,6630443.68,1147.93,Off-Plan,2025-06-10,Oqood,Individual
TXN-00046,BLD-031,Downtown Dubai,Apartment,1,764.0,1725532.2,2258.55,Sale,2026-05-30,Title Deed,Company
TXN-00047,BLD-060,Jumeirah Village Circle,Villa,5,4910.0,6087712.6,1239.86,Off-Plan,2025-11-29,Oqood,Individual
TXN-00048,BLD-020,Dubai Marina,Apartment,2,1670.0,3352925.8,2007.74,Sale,2026-04-27,Title Deed,Individual
TXN-00049,BLD-058,Dubai Marina,Apartment,1,988.0,2087525.44,2112.88,Sale,2026-02-07,Title Deed,Individual
TXN-00050,BLD-060,Jumeirah Village Circle,Apartment,3,1883.0,2524764.06,1340.82,Sale,2026-05-12,Title Deed,Individual
TXN-00051,BLD-065,Dubai Silicon Oasis,Apartment,0,625.0,491156.25,785.85,Off-Plan,2025-07-05,Oqood,Individual
TXN-00052,BLD-006,DAMAC Hills,Apartment,1,1290.0,1499921.7,1162.73,Sale,2026-03-04,Title Deed,Individual
TXN-00053,BLD-044,Dubai Silicon Oasis,Apartment,0,1669.0,1542306.21,924.09,Sale,2025-09-25,Title Deed,Individual
TXN-00054,BLD-078,Al Barari,Villa,4,5539.0,8796652.07,1588.13,Mortgage,2026-02-15,Title Deed,Individual
TXN-00055,BLD-017,Jumeirah Village Circle,Apartment,3,1033.0,1373445.81,1329.57,Off-Plan,2026-07-03,Oqood,Individual
TXN-00056,BLD-012,Dubai South,Apartment,1,1136.0,1111167.04,978.14,Sale,2026-05-22,Title Deed,Company
TXN-00057,BLD-025,Palm Jumeirah,Apartment,1,573.0,1378987.53,2406.61,Off-Plan,2026-07-03,Oqood,Company
TXN-00058,BLD-005,Downtown Dubai,Apartment,3,1644.0,3311065.32,2014.03,Sale,2025-06-28,Title Deed,Individual
TXN-00059,BLD-057,Downtown Dubai,Apartment,1,1845.0,4919692.5,2666.5,Off-Plan,2025-09-06,Oqood,Company
TXN-00060,BLD-069,Dubai Silicon Oasis,Apartment,4,1973.0,1522682.48,771.76,Off-Plan,2026-04-06,Oqood,Individual
TXN-00061,BLD-060,Jumeirah Village Circle,Villa,5,5164.0,5793646.52,1121.93,Sale,2025-09-23,Title Deed,Individual
TXN-00062,BLD-007,Dubai South,Apartment,3,1518.0,1747825.2,1151.4,Off-Plan,2025-06-23,Oqood,Individual
TXN-00063,BLD-035,Business Bay,Apartment,2,2065.0,3839186.05,1859.17,Off-Plan,2025-02-06,Oqood,Company
TXN-00064,BLD-054,Dubai Silicon Oasis,Apartment,2,887.0,836228.12,942.76,Sale,2025-12-19,Title Deed,Company
TXN-00065,BLD-019,Motor City,Apartment,1,2063.0,2248876.3,1090.1,Off-Plan,2025-01-15,Oqood,Individual
TXN-00066,BLD-011,Motor City,Apartment,1,716.0,809330.6,1130.35,Sale,2025-09-10,Title Deed,Individual
TXN-00067,BLD-039,Dubai Silicon Oasis,Apartment,1,1685.0,1504570.2,892.92,Off-Plan,2026-07-12,Oqood,Individual
TXN-00068,BLD-003,Mohammed Bin Rashid City,Apartment,2,1843.0,2936009.58,1593.06,Sale,2025-07-20,Title Deed,Individual
TXN-00069,BLD-011,Motor City,Apartment,1,2308.0,2717162.24,1177.28,Sale,2026-05-06,Title Deed,Individual
TXN-00070,BLD-006,DAMAC Hills,Apartment,4,922.0,2124380.2,2304.1,Sale,2025-04-26,Title Deed,Individual
TXN-00071,BLD-075,Jumeirah Lake Towers,Villa,4,3008.0,5332341.76,1772.72,Sale,2026-04-30,Title Deed,Individual
TXN-00072,BLD-062,Dubai Hills Estate,Apartment,3,545.0,991752.85,1819.73,Sale,2025-08-02,Title Deed,Individual
TXN-00073,BLD-006,DAMAC Hills,Apartment,1,1208.0,1520098.88,1258.36,Sale,2025-10-29,Title Deed,Individual
TXN-00074,BLD-046,Downtown Dubai,Villa,3,5882.0,15886693.8,2700.9,Sale,2026-04-05,Title Deed,Individual
TXN-00075,BLD-050,Arabian Ranches,Apartment,1,1790.0,2396953.2,1339.08,Sale,2026-03-20,Title Deed,Individual
TXN-00076,BLD-011,Motor City,Apartment,4,777.0,774280.5,996.5,Sale,2026-04-11,Title Deed,Individual
TXN-00077,BLD-078,Al Barari,Villa,3,4886.0,8487910.34,1737.19,Off-Plan,2026-03-31,Oqood,Individual
TXN-00078,BLD-036,Motor City,Apartment,3,534.0,609924.12,1142.18,Sale,2025-06-22,Title Deed,Individual
TXN-00079,BLD-004,Arabian Ranches,Apartment,2,1967.0,2277274.58,1157.74,Off-Plan,2026-02-06,Oqood,Individual
TXN-00080,BLD-073,Motor City,Apartment,1,1311.0,1550021.52,1182.32,Sale,2026-01-20,Title Deed,Individual
TXN-00081,BLD-051,Motor City,Apartment,1,2322.0,2050511.76,883.08,Sale,2025-05-10,Title Deed,Company
TXN-00082,BLD-034,Dubai Hills Estate,Villa,5,3808.0,6276040.96,1648.12,Mortgage,2025-05-28,Title Deed,Individual
TXN-00083,BLD-010,Dubai South,Apartment,3,1301.0,1404650.67,1079.67,Off-Plan,2025-12-31,Oqood,Individual
TXN-00084,BLD-009,Jumeirah Village Circle,Apartment,1,1014.0,1317297.54,1299.11,Off-Plan,2026-01-15,Oqood,Individual
TXN-00085,BLD-066,DAMAC Hills,Apartment,4,1988.0,2213439.2,1113.4,Sale,2026-05-03,Title Deed,Individual
TXN-00086,BLD-071,DAMAC Hills,Apartment,3,550.0,600996.0,1092.72,Sale,2026-03-05,Title Deed,Individual
TXN-00087,BLD-074,Arabian Ranches,Apartment,4,1692.0,2140041.6,1264.8,Sale,2025-07-15,Title Deed,Company
TXN-00088,BLD-017,Jumeirah Village Circle,Apartment,3,530.0,603728.3,1139.11,Sale,2025-08-28,Title Deed,Individual
TXN-00089,BLD-045,Palm Jumeirah,Townhouse,3,2311.0,7030108.22,3042.02,Mortgage,2025-11-16,Title Deed,Individual
TXN-00090,BLD-079,Jumeirah Lake Towers,Apartment,2,754.0,976558.18,1295.17,Off-Plan,2025-12-21,Oqood,Individual
TXN-00091,BLD-073,Motor City,Apartment,3,581.0,741582.59,1276.39,Sale,2026-03-12,Title Deed,Individual
TXN-00092,BLD-080,DAMAC Hills,Apartment,2,1662.0,2169425.22,1305.31,Sale,2026-03-01,Title Deed,Company
TXN-00093,BLD-039,Dubai Silicon Oasis,Apartment,2,733.0,724995.64,989.08,Sale,2025-12-02,Title Deed,Individual
TXN-00094,BLD-045,Palm Jumeirah,Townhouse,2,2467.0,7743271.58,3138.74,Sale,2025-09-20,Title Deed,Individual
TXN-00095,BLD-019,Motor City,Apartment,1,1181.0,1324444.26,1121.46,Off-Plan,2025-12-11,Oqood,Individual
TXN-00096,BLD-074,Arabian Ranches,Villa,3,3549.0,4268488.77,1202.73,Off-Plan,2025-04-12,Oqood,Individual
TXN-00097,BLD-051,Motor City,Apartment,4,846.0,720808.92,852.02,Sale,2026-05-06,Title Deed,Company
TXN-00098,BLD-037,Dubai Marina,Apartment,3,1273.0,2524600.87,1983.19,Off-Plan,2026-02-24,Oqood,Individual
TXN-00099,BLD-007,Dubai South,Apartment,1,1515.0,1612308.45,1064.23,Off-Plan,2025-05-11,Oqood,Individual
TXN-00100,BLD-017,Jumeirah Village Circle,Townhouse,3,3231.0,4437746.19,1373.49,Off-Plan,2026-06-15,Oqood,Individual
TXN-00101,BLD-052,Jumeirah Lake Towers,Apartment,0,691.0,896489.58,1297.38,Sale,2026-06-21,Title Deed,Individual
TXN-00102,BLD-018,Jumeirah Lake Towers,Apartment,2,742.0,1273858.18,1716.79,Sale,2026-06-15,Title Deed,Individual
TXN-00103,BLD-069,Dubai Silicon Oasis,Apartment,2,1360.0,1128514.4,829.79,Sale,2025-11-21,Title Deed,Individual
TXN-00104,BLD-004,Arabian Ranches,Apartment,1,1718.0,2261317.5,1316.25,Sale,2026-05-16,Title Deed,Individual
TXN-00105,BLD-022,Dubai Silicon Oasis,Apartment,2,1954.0,2176228.42,1113.73,Sale,2025-05-02,Title Deed,Individual
TXN-00106,BLD-025,Palm Jumeirah,Apartment,1,720.0,1874973.6,2604.13,Off-Plan,2025-03-14,Oqood,Company
TXN-00107,BLD-018,Jumeirah Lake Towers,Apartment,2,2396.0,3774993.84,1575.54,Mortgage,2026-07-09,Title Deed,Individual
TXN-00108,BLD-044,Dubai Silicon Oasis,Apartment,2,2138.0,2210007.84,1033.68,Sale,2025-09-19,Title Deed,Individual
TXN-00109,BLD-036,Motor City,Apartment,1,2346.0,2602441.26,1109.31,Sale,2025-11-30,Title Deed,Individual
TXN-00110,BLD-062,Dubai Hills Estate,Apartment,3,1995.0,3334762.2,1671.56,Off-Plan,2026-02-18,Oqood,Individual
TXN-00111,BLD-045,Palm Jumeirah,Townhouse,4,2323.0,8013908.63,3449.81,Sale,2025-09-29,Title Deed,Individual
TXN-00112,BLD-062,Dubai Hills Estate,Apartment,3,957.0,1662921.48,1737.64,Sale,2025-09-12,Title Deed,Individual
TXN-00113,BLD-032,Palm Jumeirah,Apartment,3,867.0,2140250.19,2468.57,Sale,2025-05-30,Title Deed,Individual
TXN-00114,BLD-001,Motor City,Townhouse,5,2084.0,2176654.64,1044.46,Sale,2025-10-31,Title Deed,Individual
TXN-00115,BLD-042,Jumeirah Village Circle,Apartment,0,1942.0,2051587.06,1056.43,Off-Plan,2025-02-17,Oqood,Company
TXN-00116,BLD-023,Palm Jumeirah,Apartment,3,2269.0,6513754.44,2870.76,Off-Plan,2025-11-02,Oqood,Individual
TXN-00117,BLD-005,Downtown Dubai,Apartment,2,632.0,1316279.04,2082.72,Mortgage,2026-05-30,Title Deed,Individual
TXN-00118,BLD-018,Jumeirah Lake Towers,Villa,4,3706.0,5529463.18,1492.03,Sale,2025-07-19,Title Deed,Individual
TXN-00119,BLD-002,Downtown Dubai,Villa,5,5469.0,11541394.77,2110.33,Off-Plan,2026-03-23,Oqood,Company
TXN-00120,BLD-066,DAMAC Hills,Apartment,1,609.0,675362.73,1108.97,Mortgage,2026-02-06,Title Deed,Individual
TXN-00121,BLD-031,Downtown Dubai,Apartment,1,1073.0,2321424.77,2163.49,Sale,2025-09-08,Title Deed,Individual
TXN-00122,BLD-008,DAMAC Hills,Apartment,2,736.0,872417.6,1185.35,Off-Plan,2025-05-10,Oqood,Individual
TXN-00123,BLD-038,Business Bay,Apartment,1,2316.0,3896137.32,1682.27,Mortgage,2026-05-07,Title Deed,Individual
TXN-00124,BLD-069,Dubai Silicon Oasis,Villa,5,6381.0,5437122.48,852.08,Off-Plan,2026-07-04,Oqood,Individual
TXN-00125,BLD-047,Dubai South,Apartment,2,542.0,513328.2,947.1,Sale,2025-12-11,Title Deed,Individual
TXN-00126,BLD-067,Motor City,Apartment,2,1839.0,2224711.86,1209.74,Sale,2025-05-25,Title Deed,Individual
TXN-00127,BLD-066,DAMAC Hills,Apartment,2,1526.0,1623160.42,1063.67,Sale,2025-01-13,Title Deed,Individual
TXN-00128,BLD-028,Downtown Dubai,Apartment,0,1102.0,2882688.74,2615.87,Mortgage,2026-05-08,Title Deed,Individual
TXN-00129,BLD-005,Downtown Dubai,Apartment,1,688.0,1594192.32,2317.14,Mortgage,2026-02-05,Title Deed,Individual
TXN-00130,BLD-058,Dubai Marina,Villa,6,4566.0,8991823.8,1969.3,Sale,2026-01-01,Title Deed,Individual
TXN-00131,BLD-016,Dubai Marina,Apartment,2,1467.0,2593626.66,1767.98,Sale,2025-11-11,Title Deed,Individual
TXN-00132,BLD-060,Jumeirah Village Circle,Apartment,2,1473.0,1689486.81,1146.97,Sale,2025-05-05,Title Deed,Individual
TXN-00133,BLD-005,Downtown Dubai,Villa,4,6400.0,12422208.0,1940.97,Sale,2025-02-13,Title Deed,Individual
TXN-00134,BLD-058,Dubai Marina,Apartment,2,516.0,955229.52,1851.22,Sale,2025-03-08,Title Deed,Individual
TXN-00135,BLD-018,Jumeirah Lake Towers,Apartment,1,2035.0,3160314.3,1552.98,Sale,2025-12-04,Title Deed,Individual
TXN-00136,BLD-031,Downtown Dubai,Apartment,1,1727.0,3496294.23,2024.49,Sale,2025-07-08,Title Deed,Company
TXN-00137,BLD-055,Arabian Ranches,Apartment,0,1102.0,1389864.44,1261.22,Sale,2026-03-04,Title Deed,Individual
TXN-00138,BLD-020,Dubai Marina,Apartment,1,1485.0,2725168.05,1835.13,Off-Plan,2026-04-29,Oqood,Individual
TXN-00139,BLD-008,DAMAC Hills,Apartment,4,1523.0,1537727.41,1009.67,Sale,2026-04-15,Title Deed,Individual
TXN-00140,BLD-048,Business Bay,Apartment,2,797.0,1352620.58,1697.14,Sale,2025-07-21,Title Deed,Company
TXN-00141,BLD-076,Dubai Marina,Villa,4,5053.0,9365078.61,1853.37,Mortgage,2025-07-23,Title Deed,Individual
TXN-00142,BLD-016,Dubai Marina,Villa,5,7098.0,14101383.66,1986.67,Sale,2025-12-05,Title Deed,Individual
TXN-00143,BLD-037,Dubai Marina,Apartment,2,1131.0,2133393.99,1886.29,Sale,2026-05-05,Title Deed,Individual
TXN-00144,BLD-041,Palm Jumeirah,Townhouse,3,2545.0,7476319.25,2937.65,Sale,2026-03-13,Title Deed,Individual
TXN-00145,BLD-038,Business Bay,Apartment,1,1172.0,1992821.92,1700.36,Off-Plan,2025-09-30,Oqood,Individual
TXN-00146,BLD-063,Al Furjan,Townhouse,4,2683.0,2940138.72,1095.84,Sale,2026-05-25,Title Deed,Individual
TXN-00147,BLD-024,Business Bay,Townhouse,3,2955.0,3974061.3,1344.86,Off-Plan,2025-02-28,Oqood,Company
TXN-00148,BLD-001,Motor City,Apartment,3,878.0,741286.62,844.29,Sale,2026-05-19,Title Deed,Individual
TXN-00149,BLD-063,Al Furjan,Apartment,2,1234.0,2146802.14,1739.71,Sale,2026-06-08,Title Deed,Individual
TXN-00150,BLD-056,Downtown Dubai,Villa,6,3303.0,7431188.49,2249.83,Sale,2026-01-07,Title Deed,Individual
TXN-00151,BLD-035,Business Bay,Villa,3,7309.0,11607642.17,1588.13,Off-Plan,2025-04-02,Oqood,Individual
TXN-00152,BLD-005,Downtown Dubai,Apartment,1,1514.0,2933692.94,1937.71,Sale,2026-03-30,Title Deed,Individual
TXN-00153,BLD-043,Arabian Ranches,Apartment,3,609.0,671684.37,1102.93,Sale,2026-05-11,Title Deed,Company
TXN-00154,BLD-035,Business Bay,Apartment,0,2253.0,3871172.19,1718.23,Sale,2025-11-28,Title Deed,Company
TXN-00155,BLD-003,Mohammed Bin Rashid City,Townhouse,3,3154.0,5567913.9,1765.35,Sale,2025-09-13,Title Deed,Individual
TXN-00156,BLD-073,Motor City,Villa,4,7014.0,8921527.44,1271.96,Sale,2025-03-31,Title Deed,Company
TXN-00157,BLD-065,Dubai Silicon Oasis,Villa,4,3259.0,2390280.96,733.44,Sale,2026-02-20,Title Deed,Individual
TXN-00158,BLD-042,Jumeirah Village Circle,Apartment,1,2385.0,2599459.2,1089.92,Mortgage,2026-02-03,Title Deed,Individual
TXN-00159,BLD-011,Motor City,Villa,4,3958.0,4117190.76,1040.22,Sale,2025-06-16,Title Deed,Company
TXN-00160,BLD-050,Arabian Ranches,Apartment,0,430.0,519388.4,1207.88,Sale,2025-07-20,Title Deed,Individual
TXN-00161,BLD-056,Downtown Dubai,Apartment,2,1228.0,2911244.16,2370.72,Sale,2025-12-08,Title Deed,Individual
TXN-00162,BLD-050,Arabian Ranches,Apartment,1,1963.0,2488612.88,1267.76,Mortgage,2026-06-27,Title Deed,Individual
TXN-00163,BLD-022,Dubai Silicon Oasis,Villa,3,4064.0,3844747.2,946.05,Sale,2025-11-12,Title Deed,Individual
TXN-00164,BLD-062,Dubai Hills Estate,Villa,4,7238.0,13292948.9,1836.55,Sale,2025-05-28,Title Deed,Individual
TXN-00165,BLD-039,Dubai Silicon Oasis,Apartment,1,2086.0,2261870.66,1084.31,Sale,2025-05-29,Title Deed,Individual
TXN-00166,BLD-039,Dubai Silicon Oasis,Apartment,3,818.0,907014.76,1108.82,Mortgage,2026-05-27,Title Deed,Individual
TXN-00167,BLD-074,Arabian Ranches,Villa,4,4117.0,4829693.87,1173.11,Mortgage,2025-07-13,Title Deed,Individual
TXN-00168,BLD-071,DAMAC Hills,Apartment,2,2287.0,2545087.95,1112.85,Off-Plan,2026-03-04,Oqood,Individual
TXN-00169,BLD-064,Dubai South,Apartment,1,920.0,943634.8,1025.69,Sale,2026-05-15,Title Deed,Individual
TXN-00170,BLD-075,Jumeirah Lake Towers,Apartment,2,2242.0,3735037.48,1665.94,Off-Plan,2025-04-07,Oqood,Individual
TXN-00171,BLD-014,Al Furjan,Villa,5,4469.0,4235360.68,947.72,Mortgage,2026-02-23,Title Deed,Individual
TXN-00172,BLD-043,Arabian Ranches,Townhouse,3,1819.0,2259416.28,1242.12,Sale,2025-08-24,Title Deed,Individual
TXN-00173,BLD-058,Dubai Marina,Apartment,2,1766.0,3067171.14,1736.79,Mortgage,2025-11-08,Title Deed,Individual
TXN-00174,BLD-054,Dubai Silicon Oasis,Townhouse,2,3296.0,3086901.76,936.56,Sale,2026-06-27,Title Deed,Company
TXN-00175,BLD-062,Dubai Hills Estate,Apartment,0,1850.0,3047745.5,1647.43,Sale,2025-02-02,Title Deed,Individual
TXN-00176,BLD-044,Dubai Silicon Oasis,Apartment,2,745.0,673666.25,904.25,Sale,2026-03-22,Title Deed,Individual
TXN-00177,BLD-060,Jumeirah Village Circle,Apartment,1,785.0,942839.95,1201.07,Sale,2025-07-31,Title Deed,Individual
TXN-00178,BLD-058,Dubai Marina,Apartment,1,1815.0,3649039.35,2010.49,Off-Plan,2025-04-24,Oqood,Individual
TXN-00179,BLD-069,Dubai Silicon Oasis,Apartment,1,1326.0,1200586.92,905.42,Sale,2026-02-11,Title Deed,Individual
TXN-00180,BLD-079,Jumeirah Lake Towers,Apartment,0,1117.0,1453652.63,1301.39,Off-Plan,2025-04-06,Oqood,Company
TXN-00181,BLD-018,Jumeirah Lake Towers,Apartment,1,652.0,967437.6,1483.8,Sale,2026-02-06,Title Deed,Individual
TXN-00182,BLD-055,Arabian Ranches,Apartment,2,1793.0,2607039.93,1454.01,Sale,2025-06-02,Title Deed,Individual
TXN-00183,BLD-024,Business Bay,Apartment,2,526.0,702762.3,1336.05,Sale,2026-06-11,Title Deed,Company
TXN-00184,BLD-064,Dubai South,Apartment,2,1826.0,1755735.52,961.52,Sale,2025-08-23,Title Deed,Company
TXN-00185,BLD-038,Business Bay,Apartment,1,992.0,1713630.4,1727.45,Off-Plan,2026-06-17,Oqood,Individual
TXN-00186,BLD-015,Dubai Hills Estate,Apartment,1,1495.0,2558722.4,1711.52,Off-Plan,2026-04-06,Oqood,Individual
TXN-00187,BLD-070,Al Furjan,Apartment,1,1877.0,2028530.21,1080.73,Off-Plan,2025-10-06,Oqood,Individual
TXN-00188,BLD-045,Palm Jumeirah,Villa,3,6867.0,24218466.93,3526.79,Sale,2026-01-04,Title Deed,Individual
TXN-00189,BLD-079,Jumeirah Lake Towers,Apartment,1,696.0,913882.8,1313.05,Sale,2025-10-24,Title Deed,Individual
TXN-00190,BLD-077,Palm Jumeirah,Apartment,1,1814.0,4618625.4,2546.1,Off-Plan,2025-04-17,Oqood,Company
TXN-00191,BLD-018,Jumeirah Lake Towers,Townhouse,4,3454.0,6101698.24,1766.56,Sale,2025-09-22,Title Deed,Company
TXN-00192,BLD-019,Motor City,Villa,5,6379.0,7594518.45,1190.55,Sale,2026-03-10,Title Deed,Individual
TXN-00193,BLD-049,Motor City,Apartment,2,2163.0,2278785.39,1053.53,Sale,2026-01-22,Title Deed,Company
TXN-00194,BLD-059,Dubai Hills Estate,Townhouse,3,1804.0,3178936.64,1762.16,Off-Plan,2026-01-11,Oqood,Individual
TXN-00195,BLD-009,Jumeirah Village Circle,Villa,4,7350.0,9079675.5,1235.33,Sale,2025-05-23,Title Deed,Individual
TXN-00196,BLD-073,Motor City,Villa,5,7003.0,7478083.52,1067.84,Off-Plan,2025-01-26,Oqood,Company
TXN-00197,BLD-016,Dubai Marina,Townhouse,3,2622.0,4880118.84,1861.22,Mortgage,2025-11-15,Title Deed,Company
TXN-00198,BLD-021,Jumeirah Village Circle,Villa,5,3239.0,3658158.99,1129.41,Off-Plan,2025-03-04,Oqood,Individual
TXN-00199,BLD-051,Motor City,Apartment,2,1915.0,1649466.1,861.34,Sale,2025-03-30,Title Deed,Individual
TXN-00200,BLD-017,Jumeirah Village Circle,Apartment,2,1301.0,1646415.5,1265.5,Sale,2025-05-25,Title Deed,Company
TXN-00201,BLD-062,Dubai Hills Estate,Apartment,1,1867.0,3278545.35,1756.05,Off-Plan,2025-05-26,Oqood,Individual
TXN-00202,BLD-019,Motor City,Apartment,2,1628.0,1873730.32,1150.94,Sale,2026-03-07,Title Deed,Individual
TXN-00203,BLD-079,Jumeirah Lake Towers,Villa,5,3207.0,4803957.72,1497.96,Sale,2026-03-25,Title Deed,Individual
TXN-00204,BLD-041,Palm Jumeirah,Villa,3,5830.0,18799184.8,3224.56,Off-Plan,2025-02-06,Oqood,Individual
TXN-00205,BLD-039,Dubai Silicon Oasis,Apartment,2,794.0,819876.46,1032.59,Off-Plan,2025-09-12,Oqood,Company
TXN-00206,BLD-064,Dubai South,Apartment,1,1683.0,1922760.18,1142.46,Sale,2025-11-30,Title Deed,Individual
TXN-00207,BLD-017,Jumeirah Village Circle,Apartment,3,1253.0,1434685.0,1145.0,Sale,2025-03-25,Title Deed,Company
TXN-00208,BLD-003,Mohammed Bin Rashid City,Apartment,0,847.0,1697701.39,2004.37,Sale,2026-06-07,Title Deed,Individual
TXN-00209,BLD-054,Dubai Silicon Oasis,Apartment,1,1688.0,1503872.96,890.92,Sale,2025-08-06,Title Deed,Individual
