building_id,name,community,developer_id,completion_status,total_units,avg_price_per_sqft
BLD-036,Marina Gate 1,Motor City,DEV-09,Off-Plan,122,1168.48
BLD-037,Dubai Marina Heights,Dubai Marina,DEV-10,Completed,292,1880.51
BLD-038,Business Bay Heights,Business Bay,DEV-10,Under Construction,618,1700.65
BLD-039,Bay Central 3,Dubai Silicon Oasis,DEV-05,Completed,488,997.59
BLD-040,Park Dubai Hills Estate 1,Dubai Hills Estate,DEV-05,Under Construction,607,1608.49
BLD-041,Amara Palm Jumeirah,Palm Jumeirah,DEV-02,Completed,149,3148.25
BLD-042,Burj Vista 3,Jumeirah Village Circle,DEV-05,Completed,310,1128.99
BLD-043,Amara Arabian Ranches,Arabian Ranches,DEV-15,Completed,355,1238.95
BLD-044,Dubai Silicon Oasis Boulevard 1,Dubai Silicon Oasis,DEV-13,Off-Plan,255,963.47
BLD-045,Executive Towers 4,Palm Jumeirah,DEV-02,Off-Plan,198,3281.18
BLD-046,Marina Gate 4,Downtown Dubai,DEV-14,Completed,380,2519.87
BLD-047,Dubai South Waterside,Dubai South,DEV-13,Completed,150,945.85
BLD-048,The Business Bay Views,Business Bay,DEV-14,Completed,511,1629.23
BLD-049,Motor City Boulevard 2,Motor City,DEV-13,Completed,237,1049.6
BLD-050,Arabian Ranches Heights,Arabian Ranches,DEV-14,Completed,561,1249.9
BLD-051,Executive Towers 3,Motor City,DEV-09,Completed,311,955.04
BLD-052,Executive Towers 2,Jumeirah Lake Towers,DEV-07,Completed,486,1305.61
BLD-053,Dubai Silicon Oasis Gardens,Dubai Silicon Oasis,DEV-13,Completed,111,1023.5
BLD-054,Park Dubai Silicon Oasis 3,Dubai Silicon Oasis,DEV-06,Under Construction,167,971.94
BLD-055,Burj Vista 4,Arabian Ranches,DEV-09,Completed,342,1298.25
BLD-056,Downtown Dubai Waterside,Downtown Dubai,DEV-07,Under Construction,280,2456.86
BLD-057,Bay Central 4,Downtown Dubai,DEV-13,Completed,295,2597.55
BLD-058,Marina Gate 3,Dubai Marina,DEV-08,Off-Plan,493,1895.69
BLD-059,Dubai Hills Estate Gardens,Dubai Hills Estate,DEV-15,Under Construction,601,1668.94
BLD-060,Jumeirah Village Circle Boulevard 4,Jumeirah Village Circle,DEV-12,Completed,293,1220.96
BLD-061,Skyline Arabian Ranches,Arabian Ranches,DEV-13,Under Construction,321,1262.46
BLD-062,Bay Central 4,Dubai Hills Estate,DEV-05,Off-Plan,60,1838.4
BLD-063,Al Furjan District 4,Al Furjan,DEV-10,Completed,400,1023.39
BLD-064,Amara Dubai South,Dubai South,DEV-14,Completed,599,1044.97
BLD-065,The Dubai Silicon Oasis Views,Dubai Silicon Oasis,DEV-04,Completed,537,816.53
BLD-066,DAMAC Hills Waterside,DAMAC Hills,DEV-11,Under Construction,428,1115.0
BLD-067,Burj Vista 3,Motor City,DEV-07,Under Construction,211,1104.05
BLD-068,Dubai Hills Estate Heights,Dubai Hills Estate,DEV-12,Off-Plan,150,1723.71
BLD-069,Park Dubai Silicon Oasis 2,Dubai Silicon Oasis,DEV-05,Completed,288,832.93
BLD-070,Al Furjan Boulevard 1,Al Furjan,DEV-05,Under Construction,619,1150.44
BLD-071,DAMAC Hills District 3,DAMAC Hills,DEV-09,Completed,389,1038.64
BLD-072,The Dubai South Views,Dubai South,DEV-14,Completed,410,1005.95
BLD-073,Golf Motor City 2,Motor City,DEV-08,Completed,574,1198.44
BLD-074,Skyline Arabian Ranches,Arabian Ranches,DEV-10,Under Construction,388,1212.39
BLD-075,Amara Jumeirah Lake Towers,Jumeirah Lake Towers,DEV-12,Under Construction,569,1648.67
BLD-076,Golf Dubai Marina 4,Dubai Marina,DEV-04,Completed,286,1930.77
BLD-077,The Palm Jumeirah Views,Palm Jumeirah,DEV-12,Under Construction,363,2696.68
BLD-078,Golf Al Barari 2,Al Barari,DEV-13,Completed,535,1647.51
BLD-079,Jumeirah Lake Towers Gardens,Jumeirah Lake Towers,DEV-13,Off-Plan,238,1412.39
BLD-080,Burj Vista 1,DAMAC Hills,DEV-03,Under Construction,450,1176.38
